content,text_clean,label,jumlah_kata
"bagus sih, tp akhir"" ini kenapa analisis nya suka ribet ya.... perasaan dulu langsung sat set jadi foto, sekarang harus ada penjelasannya dulu, ditambah kadang ga ada hasil foto nya. kemarin sih bilang nya eror, tp pas udh jadi malah makin ribettt, penjelasannya suka panjang lebar dan ga ada hasil nya. Jd harus ngulang"" terus😐",penyesuaian pengaturan tampilan antarmuka,Netral,26
"nurut aku sih udah bagus gak ada batasan limit mengirim ketikan pesan. Kekurangannya cuman satu sih, kalau bisa setiap ketikan pesan harusnya bisa hapus atau edit. Baik bekas historynya ataupun baru pesan dikirim. Kalau bagian pesna dikirim saja yang bisa diedit tapi yang history lognya gak, ya sama aja bohong. Kurang bagus kalau gak diperbaiki. ini saran paling bagus dari aku sih.",nurut bagus tidak batasan limit mengirim ketikan pesan kekurangannya cuman bisa ketikan pesan bisa hapus edit baik bekas historynya pesan dikirim pesna dikirim bisa diedit history lognya tidak bohong kurang bagus tidak diperbaiki saran bagus,Positif,35
"Berapa batas penggunaan token setiap hari untuk versi AI Pro atau AI Plus, batasnya cepat sekali habis. Sering kali salah memberikan perbaikan skrip, koreksi berulang, salah sintaks, belum selesai, batasan sudah habis harus menunggu untuk reset. Setiap perbaikan skrip kerap menimbulkan efek error domino yang tidak berkesudahan. Tidak ada kontrol indikator kuota token terpakai, tidak transparan. Pengguna butuh transparasi penggunaan token, token listrik saja ada indikator meter. Mengecewakan ..",batas penggunaan token versi ai profesional ai plus batasnya cepat habis kali salah perbaikan skrip koreksi berulang salah sintaks belum selesai batasan habis menunggu reset perbaikan skrip kerap menimbulkan efek error domino tidak berkesudahan tidak kontrol indikator kuota token terpakai tidak transparan pengguna butuh transparasi penggunaan token token listrik indikator meter mengecewakan,Negatif,52
terlalu banyak batasan yang tidak masuk logika untuk membuat foto tolong diperbaiki batasan nya sering kali foto yang dibuat tidak muncul dan selalu salah dalam menghasilkan foto tidak sesuai dengan apa yang di tuliskan masa iya sekelas Google AI nya CACAD!! MEMALUKAN MAKIN HARI MAKIN TURUN KWALITAS NYA!,batasan tidak masuk logika foto tolong diperbaiki batasan kali foto tidak muncul salah menghasilkan foto tidak sesuai tuliskan sekelas google ai cacad memalukan turun kwalitas,Negatif,25
"Apk bagus skli, dan sangat menyenangkan bisa merubah apa saja yg kita inginkan. Tpi knp awal² hasilnya bgs dan jernih, setelah beberapa kali digunakan hasil potonya jelek buram/blur. tlg diperbaiki agar hasil editannya kembali bgs & jernih mksh.",apk bagus sangat menyenangkan bisa merubah hasilnya bagus jernih kali hasil potonya jelek buram blur tolong diperbaiki hasil editannya bagus jernih terima kasih,Positif,23
"Syukurlah masalah lag ketika ganti jendela layar HP udah diatasi. Tapi muncul masalah baru sekarang, setelah update dan opsi ""penalaran"" dipecah menjadi ""penalaran"" dan ""pro"", setiap kali menggunakan yang perminataan seperti buat dokumen di canvas, itu selalu ""eror"" atau ""gagal"" padahal hasilnya di layar udah jadi dan BAGUS, tapi pas mau finishing, tiba-tiba gagal dan eror, akhirnya KOSONG ga ada apa-apa yang muncul, kayak sia-sia nunggu, padahal sempat liat sekilas hasilnya, sayang sekali.",syukurlah lag ganti jendela layar hp diatasi muncul update opsi penalaran dipecah penalaran profesional kali permintaan dokumen canvas error gagal hasilnya layar bagus pas finishing gagal error kosong tidak muncul kayak sia sia nunggu lihat sekilas hasilnya sayang,Negatif,38
"sangat tidak cocok untuk creative pipeline panjang, lebih sering tebak sendiri, melenceng dari prompt yang sudah rinci dan detail, sering tiba-tiba amnesia. Dan hebatnya, anomali ini sepaket dengan nano banana pro dan veo 3. Sangat menyesal subscribe gemini pro. Sayang bajet anda, pikir lagi untuk langganan Pro, karena AI ini hanya cocok untuk Q&A, buat ringkasan dan task pendek",sangat tidak cocok creative pipeline tebak melenceng prompt rinci detail amnesia hebatnya anomali sepaket nano banana profesional veo sangat menyesal subscribe gemini profesional sayang bajet pikir langganan profesional ai cocok q a ringkasan task pendek,Negatif,35
"yang jadi permasalahan, saya ingin mencari informasi, tapi responnya tiba-tiba bukan tentang informasi yang saya inginkan, dan ketika saya ingin membuat gambar, responnya malah tidak bisa ""sorry, i can't edit images."" MUAKK! udah coba berkali-kali sama aja. bahkan jika ingin membuat gambar sangat susah, lagi lagi ""sorry, i can't edit images."" ga sesuai ekspetasi",permasalahan mencari informasi responnya bukan informasi gambar responnya tidak bisa maaf i belum t edit images muakk coba berkali kali gambar sangat susah maaf i belum t edit images tidak sesuai ekspetasi,Negatif,32
"dari teks sudah bagus, namun dari segi pembuatan gambarnya sangat ancur dan ga sesuai, terkadang ai mengulang gambar yang sama berulang kali, ai malah mengirimkan pesan [ Url tidak valid, link di hapus], dan untuk aktivitas di Gemini sekarang tidak bisa di hapus, kecewa",teks bagus segi pembuatan gambarnya sangat hancur tidak sesuai terkadang ai mengulang gambar berulang kali ai mengirimkan pesan url tidak valid link hapus aktivitas gemini tidak bisa hapus kecewa,Negatif,29
"Lebih banyak errornya. Pas saya sudah deskripsikan jelas sesuai pedoman Gemininya, tetap aja keluarnya ""Gambar anda telah dibuat"", tapi gambarnya gak ada sama sekali. Kadang diulang 3 kali baru bisa, jadi limit saya kebuang 3 kali untuk errornya Gemini. Selain itu kualitas hasil gambarnya juga turun, kemarin bisa 5MB, sekarang sekitaran 1MB aja, kalau ada bintang 0, saya kasih bintang 0 saja",errornya pas deskripsikan jelas sesuai pedoman gemininya keluarnya gambar gambarnya tidak kadang diulang kali bisa limit kebuang kali errornya gemini kualitas hasil gambarnya turun kemarin bisa mb sekitaran mb bintang kasih bintang,Negatif,32
"Gemini itu powerful dan cepat—overall mantap. Tapi akan lebih solid kalau semua fitur di Gemini mobile juga hadir di versi desktop, terutama fitur suara yang super praktis. Selain itu, antarmuka hasil output kadang muncul di kanan atas; secara UX bakal jauh lebih enak kalau ditempatkan di akhir output biar alurnya natural. Sinkronisasi fitur mobile–desktop = big win.",gemini powerful cepat overall mantap solid fitur gemini mobile hadir versi desktop fitur suara super praktis antarmuka hasil output kadang muncul kanan ux enak ditempatkan output biar alurnya natural sinkronisasi fitur mobile desktop big win,Positif,35
"sebenarnya aplikasinya bagus,cuma yg bikin kesel adalah sering error,saya pengen nanya sesuatu malah kode pemrogramannya error,malah muncul tulisan kayak tool,(,code,/ dan lain sebagainya,yang itu sering kejadian belakangan ini,padahal sebelum sebelumnya gak ada kayak begituan,terus sering banget gemininya gak ngelakuin apa yang saya perintahin,kayak semisal saya perintahin sesuatu Gemininya pasti bilang saya tidak bisa mencari,atau kalimat kalimat lainnya yang seakan nolak buat nyari,perbaikin.",aplikasinya bagus bikin kesel error pengen kode pemrogramannya error muncul tulisan kayak tool code kejadian tidak kayak begituan banget gemininya tidak perintahin kayak perintahin gemininya bilang tidak bisa mencari kalimat kalimat seakan nolak mencari perbaikin,Negatif,35
"Masih bagus ChatGPT, terutama dalam pembuatan gambar. ChatGPT lebih paham command pembuatan gambar, sedangkan gemini tidak paham command, malah bikin desain sendiri menurut udelnya sendiri!!! Lagipula percakapan dalam ChatGPT bisa di share, sedangkan gemini tidak bisa!!!",bagus chatgpt pembuatan gambar chatgpt paham command pembuatan gambar gemini tidak paham command bikin desain udelnya lagipula percakapan chatgpt bisa share gemini tidak bisa,Negatif,24
"ini adalah barang bagus! hanya ada bug pada aksara arab, aksaranya tak terlihat! tolong perbaiki! kalau aku boleh minta suatu fitur, pastinya aku ingin ada fitur pin di dalam obrolan. buatkan pesan tertentu bisa di pin dan di simpan, agar nantinya bisa di akses dengan mudah tanpa perlu scroll panjang ke atas! bahkan seringkali terlewat. terimakasih banyak jika di tambahkan sesuai keinginaku!",barang bagus bug aksara arab aksaranya tidak tolong perbaiki fitur pastinya fitur pin obrolan buatkan pesan bisa pin simpan bisa akses mudah scroll seringkali terlewat terimakasih tambahkan sesuai keinginaku,Positif,29
"saat ngedit foto selalu fotonya tidak muncul, aturan aneh terlalu ketat, kadang² foto tidak sesuai, sangat buruk sekali👎, tidak menjamin sesuai keinginan saat mengedit foto mendingan tidak usah ngedit foto di gemini ai kadang² tidak sesuai sangat buruk👎👎👎👎👎👎.",ngedit foto fotonya tidak muncul aturan aneh ketat kadang foto tidak sesuai sangat buruk tidak menjamin sesuai mengedit foto mendingan tidak ngedit foto gemini ai kadang tidak sesuai sangat buruk,Negatif,30
"Ai nya bagus, cuma kenapa ai nya sering menyinggung tidak aman, diluar jangkauan, dan suruh ganti topik. Padahal tanya nya normal (tentang hewan, dan tanaman, atau hal umum lainnya), sebelum notif tidak aman dll, juga ada jawabannya. Mungkin aja ada fitur kaya gitu buat ngasih batas wajar pertannyaan, tapi itu ngeselin dan belum optimal. Selepasnya bagus kok",biasa saja fungsinya,Netral,29
"gak bisa download full hd, maaf terjadi error terus!!! satu pun gak bisa Kudownload full, jadi blur semua, jelek banget, kecewa banget!!!!! jaringan lancar dan kenceng, aplikasi baru pakai udah begini, perizinan juga ok aja, pdhl hasil gambarnya bagus banget, tapi gak bisa didownload full ya percuma",tidak bisa download full hd maaf error tidak bisa download full blur jelek banget kecewa banget jaringan lancar kenceng aplikasi pakai perizinan ok hasil gambarnya bagus banget tidak bisa didownload full,Negatif,31
"Selalu gagal dan gak bisaa mendekripsikan foto yang saya kirim dan minta dengan teks untuk mengedit foto AI, padahal foto yang saya kirim sudah cukup jelas dan detail..tapi Tetap ga bisa Menghasilkan foto AI nya..KECEWA download gk jdi apa² buang data iya😂🤣",gagal tidak bisa mendekripsikan foto kirim teks mengedit foto ai foto kirim jelas detail tidak bisa menghasilkan foto ai kecewa download tidak buang data,Negatif,24
