content,score
"bagus sih, tp akhir"" ini kenapa analisis nya suka ribet ya.... perasaan dulu langsung sat set jadi foto, sekarang harus ada penjelasannya dulu, ditambah kadang ga ada hasil foto nya. kemarin sih bilang nya eror, tp pas udh jadi malah makin ribettt, penjelasannya suka panjang lebar dan ga ada hasil nya. Jd harus ngulang"" terus😐",4
"nurut aku sih udah bagus gak ada batasan limit mengirim ketikan pesan. Kekurangannya cuman satu sih, kalau bisa setiap ketikan pesan harusnya bisa hapus atau edit. Baik bekas historynya ataupun baru pesan dikirim. Kalau bagian pesna dikirim saja yang bisa diedit tapi yang history lognya gak, ya sama aja bohong. Kurang bagus kalau gak diperbaiki. ini saran paling bagus dari aku sih.",5
"Berapa batas penggunaan token setiap hari untuk versi AI Pro atau AI Plus, batasnya cepat sekali habis. Sering kali salah memberikan perbaikan skrip, koreksi berulang, salah sintaks, belum selesai, batasan sudah habis harus menunggu untuk reset. Setiap perbaikan skrip kerap menimbulkan efek error domino yang tidak berkesudahan. Tidak ada kontrol indikator kuota token terpakai, tidak transparan. Pengguna butuh transparasi penggunaan token, token listrik saja ada indikator meter. Mengecewakan ..",1
terlalu banyak batasan yang tidak masuk logika untuk membuat foto tolong diperbaiki batasan nya sering kali foto yang dibuat tidak muncul dan selalu salah dalam menghasilkan foto tidak sesuai dengan apa yang di tuliskan masa iya sekelas Google AI nya CACAD!! MEMALUKAN MAKIN HARI MAKIN TURUN KWALITAS NYA!,1
"Apk bagus skli, dan sangat menyenangkan bisa merubah apa saja yg kita inginkan. Tpi knp awal² hasilnya bgs dan jernih, setelah beberapa kali digunakan hasil potonya jelek buram/blur. tlg diperbaiki agar hasil editannya kembali bgs & jernih mksh.",5
"Syukurlah masalah lag ketika ganti jendela layar HP udah diatasi. Tapi muncul masalah baru sekarang, setelah update dan opsi ""penalaran"" dipecah menjadi ""penalaran"" dan ""pro"", setiap kali menggunakan yang perminataan seperti buat dokumen di canvas, itu selalu ""eror"" atau ""gagal"" padahal hasilnya di layar udah jadi dan BAGUS, tapi pas mau finishing, tiba-tiba gagal dan eror, akhirnya KOSONG ga ada apa-apa yang muncul, kayak sia-sia nunggu, padahal sempat liat sekilas hasilnya, sayang sekali.",2
"sangat tidak cocok untuk creative pipeline panjang, lebih sering tebak sendiri, melenceng dari prompt yang sudah rinci dan detail, sering tiba-tiba amnesia. Dan hebatnya, anomali ini sepaket dengan nano banana pro dan veo 3. Sangat menyesal subscribe gemini pro. Sayang bajet anda, pikir lagi untuk langganan Pro, karena AI ini hanya cocok untuk Q&A, buat ringkasan dan task pendek",1
"yang jadi permasalahan, saya ingin mencari informasi, tapi responnya tiba-tiba bukan tentang informasi yang saya inginkan, dan ketika saya ingin membuat gambar, responnya malah tidak bisa ""sorry, i can't edit images."" MUAKK! udah coba berkali-kali sama aja. bahkan jika ingin membuat gambar sangat susah, lagi lagi ""sorry, i can't edit images."" ga sesuai ekspetasi",1
"dari teks sudah bagus, namun dari segi pembuatan gambarnya sangat ancur dan ga sesuai, terkadang ai mengulang gambar yang sama berulang kali, ai malah mengirimkan pesan [ Url tidak valid, link di hapus], dan untuk aktivitas di Gemini sekarang tidak bisa di hapus, kecewa",2
"Lebih banyak errornya. Pas saya sudah deskripsikan jelas sesuai pedoman Gemininya, tetap aja keluarnya ""Gambar anda telah dibuat"", tapi gambarnya gak ada sama sekali. Kadang diulang 3 kali baru bisa, jadi limit saya kebuang 3 kali untuk errornya Gemini. Selain itu kualitas hasil gambarnya juga turun, kemarin bisa 5MB, sekarang sekitaran 1MB aja, kalau ada bintang 0, saya kasih bintang 0 saja",1
"Gemini itu powerful dan cepat—overall mantap. Tapi akan lebih solid kalau semua fitur di Gemini mobile juga hadir di versi desktop, terutama fitur suara yang super praktis. Selain itu, antarmuka hasil output kadang muncul di kanan atas; secara UX bakal jauh lebih enak kalau ditempatkan di akhir output biar alurnya natural. Sinkronisasi fitur mobile–desktop = big win.",5
"sebenarnya aplikasinya bagus,cuma yg bikin kesel adalah sering error,saya pengen nanya sesuatu malah kode pemrogramannya error,malah muncul tulisan kayak tool,(,code,/ dan lain sebagainya,yang itu sering kejadian belakangan ini,padahal sebelum sebelumnya gak ada kayak begituan,terus sering banget gemininya gak ngelakuin apa yang saya perintahin,kayak semisal saya perintahin sesuatu Gemininya pasti bilang saya tidak bisa mencari,atau kalimat kalimat lainnya yang seakan nolak buat nyari,perbaikin.",1
"Masih bagus ChatGPT, terutama dalam pembuatan gambar. ChatGPT lebih paham command pembuatan gambar, sedangkan gemini tidak paham command, malah bikin desain sendiri menurut udelnya sendiri!!! Lagipula percakapan dalam ChatGPT bisa di share, sedangkan gemini tidak bisa!!!",1
"ini adalah barang bagus! hanya ada bug pada aksara arab, aksaranya tak terlihat! tolong perbaiki! kalau aku boleh minta suatu fitur, pastinya aku ingin ada fitur pin di dalam obrolan. buatkan pesan tertentu bisa di pin dan di simpan, agar nantinya bisa di akses dengan mudah tanpa perlu scroll panjang ke atas! bahkan seringkali terlewat. terimakasih banyak jika di tambahkan sesuai keinginaku!",5
"saat ngedit foto selalu fotonya tidak muncul, aturan aneh terlalu ketat, kadang² foto tidak sesuai, sangat buruk sekali👎, tidak menjamin sesuai keinginan saat mengedit foto mendingan tidak usah ngedit foto di gemini ai kadang² tidak sesuai sangat buruk👎👎👎👎👎👎.",1
"Ai nya bagus, cuma kenapa ai nya sering menyinggung tidak aman, diluar jangkauan, dan suruh ganti topik. Padahal tanya nya normal (tentang hewan, dan tanaman, atau hal umum lainnya), sebelum notif tidak aman dll, juga ada jawabannya. Mungkin aja ada fitur kaya gitu buat ngasih batas wajar pertannyaan, tapi itu ngeselin dan belum optimal. Selepasnya bagus kok",4
"gak bisa download full hd, maaf terjadi error terus!!! satu pun gak bisa Kudownload full, jadi blur semua, jelek banget, kecewa banget!!!!! jaringan lancar dan kenceng, aplikasi baru pakai udah begini, perizinan juga ok aja, pdhl hasil gambarnya bagus banget, tapi gak bisa didownload full ya percuma",1
"Selalu gagal dan gak bisaa mendekripsikan foto yang saya kirim dan minta dengan teks untuk mengedit foto AI, padahal foto yang saya kirim sudah cukup jelas dan detail..tapi Tetap ga bisa Menghasilkan foto AI nya..KECEWA download gk jdi apa² buang data iya😂🤣",1
"JANGAN BERLANGGANAN! KECUALI MAU RUGI. 1. Nano Banana sering error terutama pada hasil gambar ( rasio ). prompt 9:16 , hasilnya selalu 1:1, mengecewakan. 2. Veo3 seringkali hasil video tidak bersuara meskipun perintah nya sangat jelas. 3. veo3 perhari 3 video 1 video 8 detik ( RUGI )",1
"Akun Saya sudah berlanganan, selalu saja mncul Tulisan ""Maaf, saya tidak bisa membuat lebih banyak gambar untuk Anda hari ini, tetapi Anda bisa kembali lagi besok untuk membuat gambar lainnya."" padahal dalam 24 jam saya belum membuat satu gambar pun, giliran make akun email grtis di proses gambarnya, untuk pembuatan Vidio pun hanya di batasi 2 kali pembuatan saja, percuma saja Berlangganan kalau akses yang di kasih malah terbatas, masa lebih bagusan Gratisan Terimakasih 🙏🙏",5
"Asisten yang sangat bagus, dan membantu, tapi kadang ngebug percakapan sebelumnya gagal dimuat. sama tiba-tiba gak bisa kirim percakapan bersama gambar jadinya stuck di ""tunggu sebentar.."", sama terkadang saat baru mulai percakapan sama AI nya malah jadi bahasa Inggris, overall sih bagus banget, responnya dan percakapannya cukup akurat dan nyambung. AI The best pokoknya.",4
"Katanya aplikasi ini gak ngasih batasan pesan di chatnya, tapi begitu aku scroll ke atas begitu pesan-pesan di chatnya makin panjang, aku gak bisa liat pesan-pesan sebelumnya! gimana sih ini? kembalikan history chatnya dong! ada orang kayak aku yang suka baca historinya! ChatGPT justru gak kayak gini kalo soal masalah pesan chat yang kepanjangan! Perbaiki masalah ini, ganggu banget!",2
"Masalah: Error terus-menerus saat unggah file MP4 (Error Code: Internal Server Error / Upload Failed). Detail File: Ukuran kecil (8,38 MB), format standar MP4. Status: Sudah dicoba via Aplikasi (Update terbaru), Web (Chrome/Incognito), dan integrasi Google Drive, tetap GAGAL total. Perangkat: [Redmi 9a] Mohon segera perbaiki server upload/processing untuk wilayah Indonesia. Fitur tidak bisa digunakan sama sekali!",1
"update versi terbaru seharusnya menambah efesiensi dalam beraktifitas menggunakan gemini. Fitur pada versi sebelumnya lebih baik daripada update terbaru saat ini, dimana pada versi sebelumnya dapat langsung mengubah jawaban gemini kedalam dokumen yang terismpan di google drive tetapi pada versi terbaru fitur itu hilang, dan diarahkan untuk melakukan copy paste, bukankah ini suatu kemunduran!!!!!!!!",1
"I hate this.....ya... sebenarnya kecewa sebagai student universitas....ketika saya ingin belajar dan memahami materi yang kompleks, gemini selalu tidak bisa membaca PDF saya dan halu....kadang muncul pesan ""Maaf pdf anda belum dikirim"" padahal saya sudah kirim.... kemudian tentang gambar, saya suruh menganalisis gambar gemini tidak bisa.... saya pakai PRO!!!! PRO LOHH.....kenapa jelek sekali semakin lama!!?",1
"sekarang saya kecewa sekali dengan kebijakan ke amanan di aplikasi sekarang ngak bisa edit foto berdampingan dengan foto orang lain ,saya jasa tukang edit dengan ini saya kecewa berat dengan sistem nya kenapa di batasi teks nya dan keamanan nya ,membuat saya kecewa berat",1
"bagi saya udah lumayan bagus dan membantu banget tapi aku suka kesel kalau soal gambar itu. padahal aku ga nyuruh bikin gambar tapi masih aja bikin gambar. padahal aku udah nyuruh berhenti tapi terkadang beberapa gambar yang aku kirim misal hasil gambarku di aplikasi lain malah di buat lagi, itu yang bikin aku kesel tapi kalo soal foto barang gitu ga bikin gambar lain-lain. kalo bisa yah di perbaiki lagi biar kalo kita udah nyuruh ga bikin gambar dia ga bikin sampai kita nyuruh dia buat gambarny",3
